NomVille,MAJ,CodePostal,CodeINSEE,CodeRegion,Latitude,Longitude,Eloignement
 Frontignan-de-Comminges ,FRONTIGNAN DE COMMINGES ,31510,31200,72,42.966667,0.65,1.62
 Frontignan-Savès ,FRONTIGNAN SAVES  ,31230,31201,72,43.4,0.916667,1.24
 Fronton ,FRONTON   ,31620,31202,72,43.85,1.4,2.35
 Frouzins ,FROUZINS   ,31270,31203,72,43.516667,1.316667,1.13
 Fustignac ,FUSTIGNAC   ,31430,31204,72,43.3,0.983333,0.76
 Gagnac-sur-Garonne ,GAGNAC SUR GARONNE ,31150,31205,72,43.7,1.366667,1.67
 Gaillac-Toulza ,GAILLAC TOULZA  ,31550,31206,72,43.25,1.466667,0.97
 Galié ,GALIE   ,31510,31207,72,42.983333,0.633333,1.55
 Ganties ,GANTIES   ,31160,31208,72,43.066667,0.833333,1.17
 Garac ,GARAC   ,31480,31209,72,43.7,1.1,1.67
 Gardouch ,GARDOUCH   ,31290,31210,72,43.383333,1.683333,1.61
 Gargas ,GARGAS   ,31620,31211,72,43.716667,1.466667,1.75
 Garidech ,GARIDECH   ,31380,31212,72,43.716667,1.566667,1.75
 Garin ,GARIN   ,31110,31213,72,42.816667,0.516667,2.3
 Gaud ,GAUD   ,31440,31214,72,42.916667,0.65,1.85
 Gauré ,GAURE   ,31590,31215,72,43.616667,1.616667,1.41
 Gémil ,GEMIL   ,31380,31216,72,43.733333,1.6,1.82
Génos,   ,31510,31217,72,43,0.666667,1.47
 Gensac-de-Boulogne ,GENSAC DE BOULOGNE ,31350,31218,72,43.25,0.583333,1.61
 Gensac-sur-Garonne ,GENSAC SUR GARONNE ,31310,31219,72,43.216667,1.133333,1.55
 Gibel ,GIBEL   ,31560,31220,72,43.3,1.666667,1.56
 Gouaux-de-Larboust ,GOUAUX DE LARBOUST ,31110,31221,72,42.8,0.483333,2.37
 Gouaux-de-Luchon ,GOUAUX DE LUCHON ,31110,31222,72,42.85,0.616667,2.15
 Goudex ,GOUDEX   ,31230,31223,72,43.366667,0.95,1.54
 Gourdan-Polignan ,GOURDAN POLIGNAN  ,31210,31224,72,43.066667,0.583333,1.61
 Goutevernisse ,GOUTEVERNISSE   ,31310,31225,72,43.216667,1.183333,0.85
 Gouzens ,GOUZENS   ,31310,31226,72,43.183333,1.183333,0.93
 Goyrans ,GOYRANS   ,31120,31227,72,43.483333,1.433333,1.48
 Gragnague ,GRAGNAGUE   ,31380,31228,72,43.683333,1.583333,1.6
 Gratens ,GRATENS   ,31430,31229,72,43.316667,1.116667,1.53
 Gratentour ,GRATENTOUR   ,31150,31230,72,43.716667,1.433333,1.75
 Grépiac ,GREPIAC   ,31190,31233,72,43.4,1.433333,1
 Le Grès ,LE GRES  ,31480,31234,72,43.733333,1.1,1.82
 Guran ,GURAN   ,31440,31235,72,42.883333,0.616667,2
 Herran ,HERRAN   ,31160,31236,72,42.966667,0.916667,1.62
 His ,HIS   ,31260,31237,72,43.066667,0.966667,1.17
 Huos ,HUOS   ,31210,31238,72,43.066667,0.6,1.56
 L'Isle-en-Dodon ,L ISLE EN DODON,31230,31239,72,43.383333,0.85,0.83
 Issus ,ISSUS   ,31450,31240,72,43.416667,1.5,1.4
 Izaut-de-l'Hôtel ,IZAUT DE L HOTEL,31160,31241,72,43.016667,0.75,1.4
 Jurvielle ,JURVIELLE   ,31110,31242,72,42.816667,0.483333,2.3
 Juzes ,JUZES   ,31540,31243,72,43.45,1.8,1.95
 Juzet-de-Luchon ,JUZET DE LUCHON ,31110,31244,72,42.816667,0.616667,2.3
 Juzet-d'Izaut ,JUZET D IZAUT ,31160,31245,72,42.983333,0.75,1.55
 Labarthe-Inard ,LABARTHE INARD  ,31800,31246,72,43.116667,0.85,1.83
 Labarthe-Rivière ,LABARTHE RIVIERE  ,31800,31247,72,43.083333,0.666667,1.47
 Labarthe-sur-Lèze ,LABARTHE SUR LEZE ,31860,31248,72,43.45,1.4,0.78
 Labastide-Beauvoir ,LABASTIDE BEAUVOIR  ,31450,31249,72,43.483333,1.666667,1.96
 Labastide-Clermont ,LABASTIDE CLERMONT  ,31370,31250,72,43.35,1.116667,1.16
 Labastide-Paumès ,LABASTIDE PAUMES  ,31230,31251,72,43.333333,0.933333,1.3
 Labastide-Saint-Sernin ,LABASTIDE SAINT SERNIN ,31620,31252,72,43.733333,1.466667,1.82
 Labastidette ,LABASTIDETTE   ,31600,31253,72,43.45,1.266667,0.74
 Labège ,LABEGE   ,31670,31254,72,43.533333,1.533333,1.17
 Labroquère ,LABROQUERE   ,31510,31255,72,43.033333,0.6,1.56
 Labruyère-Dorsa ,LABRUYERE DORSA  ,31190,31256,72,43.4,1.483333,1.16
 Lacaugne ,LACAUGNE   ,31390,31258,72,43.283333,1.266667,1.25
 Lacroix-Falgarde ,LACROIX FALGARDE  ,31120,31259,72,43.5,1.416667,0.83
 Lagarde ,LAGARDE   ,31290,31262,72,43.341667,1.716667,-1
 Lagardelle-sur-Lèze ,LAGARDELLE SUR LEZE ,31870,31263,72,43.416667,1.383333,1
 Lagrâce-Dieu ,LAGRACE DIEU  ,31190,31264,72,43.333333,1.4,0.95
 Lagraulet-Saint-Nicolas ,LAGRAULET SAINT NICOLAS ,31480,31265,72,43.783333,1.083333,2.05
 Lahage ,LAHAGE   ,31370,31266,72,43.433333,1.066667,0.51
 Lahitère ,LAHITERE   ,31310,31267,72,43.133333,1.2,1.24
 Lamasquère ,LAMASQUERE   ,31600,31269,72,43.483333,1.266667,0.74
 Landorthe ,LANDORTHE   ,31800,31270,72,43.133333,0.783333,1.02
 Lanta ,LANTA   ,31570,31271,72,43.566667,1.666667,1.56
 Lapeyrouse-Fossat ,LAPEYROUSE FOSSAT  ,31180,31273,72,43.7,1.516667,1.67
 Larcan ,LARCAN   ,31800,31274,72,43.183333,0.716667,1.22
 Laréole ,LAREOLE   ,31480,31275,72,43.733333,1.033333,1.82
 Latoue ,LATOUE   ,31800,31278,72,43.166667,0.783333,1.03
 Latour ,LATOUR   ,31310,31279,72,43.2,1.283333,0.58
 Latrape ,LATRAPE   ,31310,31280,72,43.25,1.266667,0.65
 Launac ,LAUNAC   ,31330,31281,72,43.75,1.183333,1.9
 Launaguet ,LAUNAGUET   ,31140,31282,72,43.683333,1.45,1.6
 Lautignac ,LAUTIGNAC   ,31370,31283,72,43.383333,1.066667,0.48
 Lauzerville ,LAUZERVILLE   ,31650,31284,72,43.55,1.566667,1.27
 Lavalette ,LAVALETTE   ,31590,31285,72,43.633333,1.6,1.37
 Lavelanet-de-Comminges ,LAVELANET DE COMMINGES ,31220,31286,72,43.25,1.116667,1.24
 Layrac-sur-Tarn ,LAYRAC SUR TARN ,31340,31288,72,43.833333,1.566667,2.27
 Lécussan ,LECUSSAN   ,31580,31289,72,43.15,0.5,1.85
 Lège ,LEGE   ,31440,31290,72,42.866667,0.616667,2.07
 Léguevin ,LEGUEVIN   ,31490,31291,72,43.6,1.25,1.22
 Lescuns ,LESCUNS   ,31220,31292,72,43.25,1.016667,1.14
 Lespinasse ,LESPINASSE   ,31150,31293,72,43.716667,1.383333,1.75
 Lespiteau ,LESPITEAU   ,31160,31294,72,43.066667,0.766667,1.17
 Lespugue ,LESPUGUE   ,31350,31295,72,43.233333,0.666667,1.36
 Lestelle-de-Saint-Martory ,LESTELLE DE SAINT MARTORY,31360,31296,72,43.133333,0.916667,0.87
 Lez ,LEZ   ,31440,31298,72,42.916667,0.7,1.85
 Liéoux ,LIEOUX   ,31800,31300,72,43.15,0.766667,1.07
 Lilhac ,LILHAC   ,31230,31301,72,43.283333,0.816667,1.3
 Lodes ,LODES   ,31800,31302,72,43.166667,0.683333,1.31
 Longages ,LONGAGES   ,31410,31303,72,43.366667,1.25,0.68
 Loubens-Lauragais ,LOUBENS LAURAGAIS  ,31460,31304,72,43.583333,1.783333,1.9
 Loudet ,LOUDET   ,31580,31305,72,43.15,0.566667,1.66
 Lourde ,LOURDE   ,31510,31306,72,42.983333,0.666667,1.55
 Lunax ,LUNAX   ,31350,31307,72,43.333333,0.683333,1.31
 Luscan ,LUSCAN   ,31510,31308,72,43,0.616667,1.51
 Lussan-Adeilhac ,LUSSAN ADEILHAC  ,31430,31309,72,43.316667,0.95,1.31
 Lux ,LUX   ,31290,31310,72,43.433333,1.783333,1.9
 La Magdelaine-sur-Tarn ,LA MAGDELAINE SUR TARN,31340,31311,72,43.816667,1.55,2.2
 Mailholas ,MAILHOLAS   ,31310,31312,72,43.25,1.266667,0.65
 Malvézie ,MALVEZIE   ,31510,31313,72,43,0.683333,1.47
 Mancioux ,MANCIOUX   ,31360,31314,72,43.15,0.95,0.97
 Mane ,MANE   ,31260,31315,72,43.083333,0.95,1.1
 Marignac-Lasclares ,MARIGNAC LASCLARES  ,31430,31317,72,43.3,1.1,1.25
 Marignac-Laspeyres ,MARIGNAC LASPEYRES  ,31220,31318,72,43.216667,0.95,1.93
 Marliac ,MARLIAC   ,31550,31319,72,43.233333,1.466667,1.05
 Marquefave ,MARQUEFAVE   ,31390,31320,72,43.316667,1.233333,0.53
 Marsoulas ,MARSOULAS   ,31260,31321,72,43.1,1,1.02
 Martisserre ,MARTISSERRE   ,31230,31322,72,43.383333,0.883333,0.73
 Martres-de-Rivière ,MARTRES DE RIVIERE ,31210,31323,72,43.083333,0.65,1.41
 Martres-Tolosane ,MARTRES TOLOSANE  ,31220,31324,72,43.2,1,1.06
 Mascarville ,MASCARVILLE   ,31460,31325,72,43.55,1.75,1.8
 Massabrac ,MASSABRAC   ,31310,31326,72,43.233333,1.35,1.54
 Mauran ,MAURAN   ,31220,31327,72,43.183333,1.033333,0.65
 Maurémont ,MAUREMONT   ,31290,31328,72,43.45,1.683333,1.61
 Maurens ,MAURENS   ,31540,31329,72,43.466667,1.791667,-1
 Mauressac ,MAURESSAC   ,31190,31330,72,43.316667,1.433333,0.88
 Maureville ,MAUREVILLE   ,31460,31331,72,43.516667,1.7,1.66
 Mauvaisin ,MAUVAISIN   ,31190,31332,72,43.35,1.55,1.89
 Mauzac ,MAUZAC   ,31410,31334,72,43.383333,1.266667,0.68
 Mayrègne ,MAYREGNE   ,31110,31335,72,42.833333,0.55,2.22
 Melles ,MELLES   ,31440,31337,72,42.866667,0.766667,2.07
 Menville ,MENVILLE   ,31530,31338,72,43.683333,1.2,1.6
 Mérenvielle ,MERENVIELLE   ,31530,31339,72,43.633333,1.166667,1.37
 Mervilla ,MERVILLA   ,31320,31340,72,43.516667,1.466667,0.97
 Merville ,MERVILLE   ,31330,31341,72,43.733333,1.316667,1.82
 Milhas ,MILHAS   ,31160,31342,72,42.983333,0.8,1.55
 Mirambeau ,MIRAMBEAU   ,31230,31343,72,43.4,0.883333,0.87
 Miramont-de-Comminges ,MIRAMONT DE COMMINGES ,31800,31344,72,43.083333,0.75,1.12
 Miremont ,MIREMONT   ,31190,31345,72,43.366667,1.416667,0.83
 Mirepoix-sur-Tarn ,MIREPOIX SUR TARN ,31340,31346,72,43.816667,1.583333,2.2
 Molas ,MOLAS   ,31230,31347,72,43.4,0.783333,1.38
 Moncaup ,MONCAUP   ,31160,31348,72,42.983333,0.7,1.57
 Mondavezan ,MONDAVEZAN   ,31220,31349,72,43.233333,1.033333,0.74
 Mondilhan ,MONDILHAN   ,31350,31350,72,43.283333,0.7,1.27
 Mondonville ,MONDONVILLE   ,31700,31351,72,43.666667,1.283333,1.52
 Mondouzil ,MONDOUZIL   ,31850,31352,72,43.633333,1.566667,1.37
 Monès ,MONES   ,31370,31353,72,43.416667,1.033333,0.84
 Monestrol ,MONESTROL   ,31560,31354,72,43.333333,1.666667,1.56
 Montaigut-sur-Save ,MONTAIGUT SUR SAVE ,31530,31356,72,43.7,1.25,1.67
 Montastruc-de-Salies ,MONTASTRUC DE SALIES ,31160,31357,72,43.033333,0.9,1.32
 Montastruc-la-Conseillère ,MONTASTRUC LA CONSEILLERE ,31380,31358,72,43.716667,1.6,1.75
 Montastruc-Savès ,MONTASTRUC SAVES  ,31370,31359,72,43.35,1.016667,1.48
 Montauban-de-Luchon ,MONTAUBAN DE LUCHON ,31110,31360,72,42.8,0.616667,2.37
 Montaut ,MONTAUT   ,31410,31361,72,43.35,1.266667,0.39
 Montberaud ,MONTBERAUD   ,31220,31362,72,43.15,1.15,1.72
 Montbernard ,MONTBERNARD   ,31230,31363,72,43.3,0.766667,1.68
 Montberon ,MONTBERON   ,31140,31364,72,43.716667,1.483333,1.75
